,cluster,word
881,161,ลาย
882,96,ง่าย
883,20,จำกัด
884,49,เลือด
885,64,นี่
886,183,สว่าง
887,42,สวย
888,110,กระทบ
889,196,มอบ
890,79,ปราสาท
891,55,ด
892,18,เคลื่อนที่
893,64,เสมอ
894,29,เนื้อหา
895,197,เครื่องบิน
896,46,โบ
897,20,หลากหลาย
898,84,กิจการ
899,189,น้อง
900,65,ปล่อย
901,29,เน้น
902,156,มณฑล
903,78,สยาม
904,98,บ้าง
905,45,สมอง
906,175,ร้อย
907,130,สิ้นสุด
908,108,กิจกรรม
909,24,ฝึก
910,102,ซิงเกิล
911,8,เฝ้า
912,18,สำรวจ
913,133,คุ
914,162,ไข่
915,90,รัสเซีย
916,51,ปริมาณ
917,88,เจ้าของ
918,85,หนาว
919,80,ฟิสิกส์
920,178,เป้าหมาย
921,83,เอ็ม
922,88,ก่อนหน้า
923,65,เตรียม
924,130,เกือบ
925,8,พัก
926,5,ราชินี
927,41,ราคา
928,74,ภัย
929,54,ห้า
930,48,อ้าง
931,46,บิ
932,41,อัตรา
933,44,นโยบาย
934,48,รายงาน
935,29,ขั้น
936,43,สัญญาณ
937,47,ขาด
938,186,ปฏิบัติการ
939,70,เขียว
940,50,ประธานาธิบดี
941,87,เวียดนาม
942,46,แอน
943,92,อ่าน
944,90,เยอรมัน
945,45,ประสาท
946,133,กุ
947,8,ประทับ
948,59,ดัน
949,188,เว็บ
950,83,นิว
951,127,ที่นั่ง
952,169,ค่อน
953,24,โรงพยาบาล
954,79,สถาน
955,179,โทรทรรศน์
956,58,หาง
957,12,แมน
958,98,อะไร
959,41,ที่ดิน
960,152,มาตรฐาน
961,22,คว้า
962,60,ผสม
963,9,แก้ว
964,105,ครบ
965,133,รุ
966,137,แก้
967,147,คดี
968,151,รัชกาล
969,98,ค่อย
970,107,เชิญ
971,76,สสาร
972,46,กอ
973,92,วิจารณ์
974,136,เกียรติ
975,79,เสร็จ
976,156,แคว้น
977,98,แค่
978,70,เหลือง
979,84,ร้าน
980,119,ลับ
981,143,ตำนาน
982,155,เติบ
983,58,ขา
984,106,ทศวรรษ
985,59,กระแส
986,88,ทั้งสิ้น
987,41,จ่าย
988,124,หัวใจ
989,42,กาย
990,133,ตะ
991,89,ประชาธิปไตย
992,46,จู
993,130,หาย
994,112,เชื้อ
995,55,ม
996,193,อาณาเขต
997,96,รวดเร็ว
998,161,สีน้ำ
999,167,หนัง
1000,2,ทีวี
1001,124,สาเหตุ
1002,151,รัช
1003,50,สหภาพ
1004,79,หอ
1005,11,รัฐธรรมนูญ
1006,133,กิ
1007,188,เผยแพร่
1008,46,แค
1009,46,ไซ
1010,83,ซูเปอร์
1011,2,ยอดเยี่ยม
1012,188,สื่อ
1013,197,อากาศยาน
1014,31,ซ้าย
1015,58,ครีบ
1016,20,เหมาะสม
1017,133,ซะ
1018,86,สถาปนา
1019,82,สากล
1020,68,เล่ม
1021,25,สตรี
1022,133,อิ
1023,190,ทิ้ง
1024,83,ชัน
1025,105,เฉลิม
1026,24,นักศึกษา
1027,96,ชัดเจน
1028,2,เวที
1029,182,บรรดา
1030,57,สงฆ์
1031,46,จี
1032,40,มงคล
1033,183,ครึ่ง
1034,12,เซอร์
1035,150,จอม
1036,7,หอย
1037,94,สู้
1038,62,ปฏิกิริยา
1039,18,วิเคราะห์
1040,27,ถ่วง
1041,17,เมืองหลวง
1042,78,ลาว
1043,55,ช
1044,89,ปฏิวัติ
1045,23,สถาปัตยกรรม
1046,100,เย็น
1047,147,ศาล
1048,190,สังหาร
1049,22,นัด
1050,94,เจอ
1051,43,เครื่องมือ
1052,5,ราชา
1053,33,นักบุญ
1054,83,เอ็น
1055,14,กัมพูชา
1056,29,เหตุผล
1057,79,ฉาก
1058,126,สม
1059,22,ชนะเลิศ
1060,155,ปลูก
1061,58,รอย
1062,32,สัปดาห์
1063,83,เอฟ
1064,90,สหราชอาณาจักร
1065,46,บุ
1066,90,โซเวียต
1067,80,วิชาการ
1068,96,อิสระ
1069,23,ช่าง
1070,41,ทุน
1071,137,ไร้
1072,86,ประดิษฐ์
1073,153,อพยพ
1074,107,คัดเลือก
1075,58,อก
1076,182,จิต
1077,198,ร่วมมือ
1078,115,สะพาน
1079,195,รม
1080,152,โปรแกรม
1081,2,ประกวด
1082,100,หลุม
1083,38,ราชย์
1084,199,ไท
1085,31,ขวา
1086,80,เคมี
1087,75,ซาน
1088,34,ลึก
1089,99,นี
1090,171,นิกาย
1091,27,โน้ม
1092,10,ศาสตร์
1093,35,แอฟริกา
1094,24,บัณฑิต
1095,48,ถาม
1096,64,นั่น
1097,154,บรรจุ
1098,46,เฮ
1099,11,กฎ
1100,199,กรีก
1101,64,หัน
1102,136,วร
1103,22,วอลเลย์บอล
1104,25,หนุ่ม
1105,129,แต่งงาน
1106,136,เจ้าฟ้า
1107,67,นอน
1108,75,โย
1109,107,อนุญาต
1110,178,ประสงค์
1111,20,เสียหาย
1112,118,ประพันธ์
1113,41,รายได้
1114,126,ศักดิ์
1115,171,นับถือ
1116,125,เวท
1117,46,โพ
1118,31,คัน
1119,34,ท้าย
1120,16,เชียงใหม่
1121,137,ห้าม
1122,53,หวัง
1123,116,เลข
1124,46,เวอร์
1125,108,ส่งเสริม
1126,12,คอน
1127,31,หมายเลข
1128,20,ประสิทธิภาพ
1129,135,ขุน
1130,46,คาร์
1131,198,ขัดแย้ง
1132,64,ทันที
1133,135,เจ้าพระยา
1134,118,วาด
1135,136,เกล้าฯ
1136,69,จง
1137,82,ตัวแทน
1138,2,วิดีโอ
1139,163,บัญชาการ
1140,96,ถูกต้อง
1141,196,ปฏิเสธ
1142,133,วะ
1143,124,ผู้ป่วย
1144,18,แก้ไข
1145,18,เคลื่อนไหว
1146,161,เล็กน้อย
1147,186,ปืน
1148,183,กระจุก
1149,115,ขนส่ง
1150,55,โล
1151,75,รี่
1152,29,พฤติกรรม
1153,162,ช้าง
1154,75,ชี
1155,46,เบอร์
1156,180,ริม
1157,48,ยืนยัน
1158,58,แขน
1159,115,ทางหลวง
1160,133,ชู
1161,64,ผู้คน
1162,197,ยาน
1163,6,ล้อม
1164,31,ส่อง
1165,2,ส่วนตัว
1166,183,โคจร
1167,100,สะสม
1168,93,เลื่อน
1169,67,เสื้อ
1170,92,ฟัง
1171,121,รส
1172,67,นั่ง
1173,142,กลม
1174,59,หมุน
1175,46,แก
1176,65,สลาย
1177,108,เกษตร
1178,116,ขั้นตอน
1179,12,เปอร์
1180,119,ไล่
1181,75,ริน
1182,156,เชื้อสาย
1183,7,ก้น
1184,22,แข่ง
1185,18,รวบรวม
1186,64,คอย
1187,29,อนาคต
1188,28,เจ้าหน้าที่
1189,29,เทคนิค
1190,16,แพร่
1191,67,ผม
1192,55,ป
1193,171,ลัทธิ
1194,124,บาดเจ็บ
1195,107,รับรอง
1196,127,มหาราช
1197,44,ให้การ
1198,152,รหัส
1199,86,ทะเบียน
1200,29,คุณภาพ
1201,2,แฟน
1202,31,เรียง
1203,161,น้ำหนัก
1204,12,เซนต์
1205,1,ถัด
1206,22,เกมส์
1207,82,สถานะ
1208,121,ข้าว
1209,18,ตรวจสอบ
1210,98,อยาก
1211,152,ไซต์
1212,105,บุญ
1213,188,นิตยสาร
1214,1,บ่อย
1215,6,บุก
1216,196,แนะนำ
1217,187,ม้า
1218,46,โฮ
1219,161,ขอบ
1220,47,สงบ
1221,193,มหาสมุทร
1222,138,ศัตรู
1223,76,อนุภาค
1224,162,ยักษ์
1225,115,วิ่ง
1226,62,น้ำมัน
1227,24,เยาวชน
1228,183,เมฆ
1229,124,พิษ
1230,193,ชายฝั่ง
1231,162,ลิง
1232,193,อุทยาน
1233,156,ขุนนาง
1234,88,ภายนอก
1235,65,เคลื่อน
1236,7,เปลือก
1237,46,กู
1238,24,สอบ
1239,46,คู
1240,133,ได
1241,152,เพิ่มเติม
1242,80,คณิตศาสตร์
1243,22,สถิติ
1244,167,เมะ
1245,9,หนอง
1246,46,บาร์
1247,189,ภรรยา
1248,40,พระเจ้าอยู่หัว
1249,93,ลาออก
1250,126,กร
1251,133,โกะ
1252,101,จุลจอมเกล้า
1253,130,สวรรคต
1254,105,ฉลอง
1255,54,กี่
1256,132,เห
1257,180,แกมมา
1258,29,คุณสมบัติ
1259,15,ล้าง
1260,85,ฝน
1261,2,สด
1262,18,สื่อสาร
1263,60,ดูด
1264,20,ปลอดภัย
1265,18,ทดสอบ
1266,22,นักกีฬา
1267,76,โมเลกุล
1268,25,ผู้หญิง
1269,193,ภูเขา
1270,24,มัธยม
1271,90,อาหรับ
1272,2,เดี่ยว
1273,110,รับผิดชอบ
1274,100,เผา
1275,161,แข็ง
1276,140,ยาง
1277,72,โจ
1278,122,มืด
1279,105,ประเพณี
1280,152,เครือข่าย
1281,18,ประเมิน
1282,53,สุข
1283,143,ดั้งเดิม
1284,136,พระองค์เจ้า
1285,18,คำนวณ
1286,79,กำแพง
1287,188,บทความ
1288,46,กี
1289,91,เทียบ
1290,9,แสน
1291,37,กรรม
1292,75,รอน
1293,50,สหประชาชาติ
1294,133,มุ
1295,155,ต้นไม้
1296,8,ท่องเที่ยว
1297,67,สวม
1298,19,คัมภีร์
1299,50,รัฐสภา
1300,156,ยศ
1301,47,สูญเสีย
1302,92,ย่อ
1303,58,แหลม
1304,197,รถยนต์
1305,58,ปีก
1306,62,ฝุ่น
1307,142,มุม
1308,29,รายละเอียด
1309,28,มีหน้า
1310,138,พ่าย
1311,68,ประการ
1312,136,พร
1313,36,กาล
1314,130,เรื่อย
1315,147,สิทธิ์
1316,136,ประสูติ
1317,24,ประถม
1318,84,ธนาคาร
1319,126,ประ
1320,7,ตาล
1321,89,คอมมิวนิสต์
1322,123,ไร
1323,75,จา
1324,64,หลง
1325,12,แพ
1326,190,หลบ
1327,48,ชี้
1328,142,โค้ง
1329,9,เพชร
1330,65,แปลง
1331,161,แบน
1332,5,สันตะปาปา
1333,93,ยุบ
1334,116,ตาราง
1335,11,สนธิสัญญา
1336,14,ออสเตรเลีย
1337,158,สระ
1338,188,โฆษณา
1339,65,เสริม
1340,54,หก
1341,46,นอ
1342,86,ดัดแปลง
1343,137,ติดตาม
1344,188,ข้อความ
1345,127,กรุณา
1346,44,สุขภาพ
1347,195,รัต
1348,106,ศตวรรษ
1349,110,สนอง
1350,57,สูตร
1351,186,ถัง
1352,93,พ้น
1353,39,มรดก
1354,29,สถานการณ์
1355,74,ไหว
1356,189,พี่น้อง
1357,20,ก้าวหน้า
1358,161,สัมผัส
1359,137,รอด
1360,28,ผู้จัดการ
1361,20,สะดวก
1362,138,กบฏ
1363,80,ปรัชญา
1364,142,เสา
